timestamp,connectedPlayers
2023/05/21 01:31:55,1
2023/05/21 01:31:56,2
2023/05/21 01:31:58,3
2023/05/21 01:31:59,3
2023/05/21 01:32:00,4
2023/05/21 01:32:02,5
2023/05/21 01:32:04,6
2023/05/21 01:32:06,7
2023/05/21 01:32:08,8
2023/05/21 01:32:09,8
2023/05/21 01:32:19,8
2023/05/21 01:32:29,8
2023/05/21 01:32:39,8
2023/05/21 01:32:49,8
2023/05/21 01:32:59,8
2023/05/21 01:33:09,8
2023/05/21 01:33:19,8
2023/05/21 01:33:29,8
2023/05/21 01:33:39,8
2023/05/21 01:33:49,8
2023/05/21 01:33:59,8
2023/05/21 01:34:09,8
2023/05/21 01:34:19,8
2023/05/21 01:34:29,8
2023/05/21 01:34:39,8
2023/05/21 01:34:49,8
2023/05/21 01:34:59,8
2023/05/21 01:35:09,8
2023/05/21 01:35:19,8
2023/05/21 01:35:29,8
2023/05/21 01:35:39,8
2023/05/21 01:35:49,8
2023/05/21 01:35:55,9
2023/05/21 01:35:59,9
2023/05/21 01:36:09,9
2023/05/21 01:36:19,9
2023/05/21 01:36:29,9
2023/05/21 01:36:39,9
2023/05/21 01:36:49,9
2023/05/21 01:36:59,9
2023/05/21 01:37:09,9
2023/05/21 01:37:19,9
2023/05/21 01:37:29,9
2023/05/21 01:37:39,9
2023/05/21 01:37:49,9
2023/05/21 01:37:59,9
2023/05/21 01:38:00,8
2023/05/21 01:38:02,7
2023/05/21 01:38:04,6
2023/05/21 01:38:06,5
2023/05/21 01:38:08,4
2023/05/21 01:38:09,4
2023/05/21 01:38:19,4
2023/05/21 01:38:29,4
2023/05/21 01:38:39,4
2023/05/21 01:38:49,4
2023/05/21 01:38:59,4
2023/05/21 01:39:09,4
2023/05/21 01:39:19,4
2023/05/21 01:39:29,4
2023/05/21 01:39:39,4
2023/05/21 01:39:49,4
2023/05/21 01:39:59,4
2023/05/21 01:40:09,4
2023/05/21 01:40:19,4
2023/05/21 01:40:29,4
2023/05/21 01:40:39,4
2023/05/21 01:40:49,4
2023/05/21 01:40:59,4
2023/05/21 01:41:09,4
2023/05/21 01:41:19,4
2023/05/21 01:41:29,4
2023/05/21 01:41:39,4
2023/05/21 01:41:49,4
2023/05/21 01:41:59,4
2023/05/21 01:42:09,4
2023/05/21 01:42:19,4
2023/05/21 01:42:29,4
2023/05/21 01:42:39,4
2023/05/21 01:42:49,4
2023/05/21 01:42:59,4
2023/05/21 01:43:09,4
2023/05/21 01:43:19,4
2023/05/21 01:43:29,4
2023/05/21 01:43:39,4
2023/05/21 01:43:49,4
2023/05/21 01:43:59,4
2023/05/21 01:44:09,4
2023/05/21 01:44:19,4
2023/05/21 01:44:26,3
2023/05/21 01:44:29,3
2023/05/21 01:44:39,3
2023/05/21 01:44:49,3
2023/05/21 01:44:59,3
2023/05/21 01:45:09,3
2023/05/21 01:45:19,3
2023/05/21 01:45:29,3
2023/05/21 01:45:39,3
2023/05/21 01:45:49,3
2023/05/21 01:45:59,3
2023/05/21 01:46:09,3
2023/05/21 01:46:19,3
2023/05/21 01:46:29,3
2023/05/21 01:46:39,3
2023/05/21 01:46:49,3
2023/05/21 01:46:59,3
2023/05/21 01:47:09,3
2023/05/21 01:47:19,3
2023/05/21 01:47:29,3
2023/05/21 01:47:39,3
2023/05/21 01:47:49,3
2023/05/21 01:47:59,3
2023/05/21 01:48:09,3
2023/05/21 01:48:19,3
2023/05/21 01:48:29,3
2023/05/21 01:48:39,3
2023/05/21 01:48:49,3
2023/05/21 01:48:59,3
2023/05/21 01:49:09,3
2023/05/21 01:49:19,3
2023/05/21 01:49:29,3
2023/05/21 01:49:39,3
2023/05/21 01:49:49,3
2023/05/21 01:49:59,3
2023/05/21 01:50:09,3
2023/05/21 01:50:19,3
2023/05/21 01:50:29,3
2023/05/21 01:50:39,3
2023/05/21 01:50:49,3
2023/05/21 01:50:59,3
2023/05/21 01:51:09,3
2023/05/21 01:51:19,3
2023/05/21 01:51:29,3
2023/05/21 01:51:39,3
2023/05/21 01:51:49,3
2023/05/21 01:51:55,2
2023/05/21 01:51:56,1
2023/05/21 01:51:58,0
2023/05/21 01:51:59,0
2023/05/21 01:52:09,0
2023/05/21 01:52:19,0
2023/05/21 01:52:29,0
2023/05/21 01:52:39,0
2023/05/21 01:52:49,0
2023/05/21 01:52:59,0
2023/05/21 01:53:09,0
2023/05/21 01:53:19,0
2023/05/21 01:53:29,0
2023/05/21 01:53:39,0
2023/05/21 01:53:49,0
2023/05/21 01:53:59,0
2023/05/21 01:54:09,0
2023/05/21 01:54:19,0
2023/05/21 01:54:29,0
2023/05/21 01:54:39,0
2023/05/21 01:54:49,0
2023/05/21 01:54:59,0
2023/05/21 01:55:09,0
2023/05/21 01:55:20,0
2023/05/21 01:55:30,0
2023/05/21 01:55:40,0
2023/05/21 01:55:50,0
2023/05/21 01:55:55,0
